#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Oil production by country 1900-2022
#Time span: 1900-2022
#----------------------------------------------------------------
#Variable: Oil production by country
#Source: Our World in Data; "Oil Production"
#Source link: https://ourworldindata.org/grapher/oil-production-by-country
#Data accessed: 2023-11-15Description: Our World in Data processes original data from The Energy Institute Statistical Review of World Energy and the The Shift Data Portal--links below
#Additional links: The Energy Institute Statistical Review of World Energy: https://www.energyinst.org/statistical-review; The Shift Data Portal: https://theshiftdataportal.org/energy
#================================================================
Year,United States,Saudi Arabia,Russia,Canada,Iraq,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,USSR,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Western Sahara,World,Yemen,Yugoslavia,Zambia,Zimbabwe
1966,19.03,5.48,,2.02,2.87,,0.04,1.41,,0.03,,0.61,,,0.02,0.12,,,0.13,0,0,,,,,,,0.03,,,0.26,,0.2,0.02,,,,0,,,,,0.07,0.61,0.44,,0,,,0,,0,,,0.01,0,0,,,,,0.02,0.26,,,,,,,,,,,0.12,,,0.06,,,0.33,0,,0,,,,,0,,,,,,,0.07,,0.19,1,4.48,,0.01,0.08,,0.03,,,,,,5.26,,,,,,,3,,,,,,0,,,,,,,0.77,,0,,,0,,0.02,,,,0.1,,,0,,,0.86,,,,,0,0,0.02,,,,,0.14,0,0.02,,,0.61,,0.55,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.32,0.03,0.09,,,11.1,,,0.73,0,,,,,7.49,,,71.27,,0.09,,
1967,20.27,5.92,,2.21,2.53,,0.04,1.62,,0.02,,0.67,,,0.04,0.11,,,0.15,0,0,,,,,,,0.08,,,0.32,,0.22,0.02,,,,0,,,,,0.07,0.58,0.42,,0,,,0,,0,,,0.01,0,0,,,,,0.01,0.23,,,,,,,,,,,0.12,,,0.14,,,0.34,0,,0,,,,,0,,,,,,,0.07,,0.24,1.08,5.46,,0.01,0.07,,0.03,,,,,,5.29,,,,,,,3.45,,,,,,0,,,,,,,0.86,,0,,,0,,0.02,,,,0.09,,,0,,,0.66,,,,,0,0.12,0.02,,,,,0.16,0,0.02,,,0.68,,0.56,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.37,0.09,0.12,,,12.06,,,0.77,0,,,,,7.87,,,76.46,,0.1,,
1968,21.05,6.46,,2.39,3.11,,0.05,1.78,,0.03,,0.73,,,0.08,0.11,,,0.16,0,0,,,,,,,0.08,,,0.36,,0.25,0.02,,,,0,,,,,0.07,0.67,0.39,,0,,,0,,0.01,,,0.01,0,0,,,,,0.01,0.36,,,,,,,,,,,0.11,,,0.19,,,0.34,0,,0,,,,,0,,,,,,,0.08,,0.25,1.27,5.98,,0,0.07,,0.03,,,,,,5.57,,,,,,,5.19,,,,,,0.01,,,,,,,0.92,,0,,,0,,0.03,,,,0.09,,,0,,,0.29,,,,,0,0.5,0.02,,,,,0.17,0,0.02,,,0.71,,0.57,,,,,,,,,,,,,,,,,,,,,0.01,,,0,0,,0.04,0,,,0,,,0.4,0.13,0.13,,,12.95,,,1.01,0,,,,,8.03,,,83.41,,0.1,,
1969,21.41,6.81,,2.6,3.14,,0.05,1.86,,0.1,,0.76,,,0.09,0.12,,,0.16,0,0,,,,,,,0.08,,,0.39,,0.26,0.01,,,,0,,,,,0.07,0.91,0.47,,0,,,0,,0.01,,,0.01,0,0,,,,,0.01,0.51,,,,,,,,,,,0.1,,,0.21,,,0.33,0,,0,,,,,0,,,,,,,0.07,,0.28,1.36,7.09,,0,0.07,,0.03,,,,,,5.9,,,,,,,6.18,,,,,,0.02,,,,,,,0.96,,0,,,0,,0.03,,,,0.08,,,0,,,1.11,,,,,0,0.68,0.02,,,,,0.16,0,0.02,,,0.74,,0.57,,,,,,,,,,,,,,,,,,,,,0.01,,,0,0,,0.11,0,,,0,,,0.33,0.16,0.15,,,13.75,,,1.27,0,,,,,7.99,,,89.79,,0.11,,
1970,22.34,8.05,,2.93,3.19,,0.06,2.02,,0.21,,0.84,,,0.36,0.12,,,0.16,0,0,,,,,,,0.05,,,0.37,,0.28,0.01,,,,0,,,,,0.06,1.28,0.49,,0,,,0,,0.01,,,0.01,0,0,,,,,0.01,0.69,,,,,,,,,,,0.1,,,0.23,,,0.32,0,,0,,,,,0,,,,,,,0.08,,0.29,1.81,8.06,,0,0.06,,0.03,,,,,,6.36,,,,,,,6.68,,,,,,0.04,,,,,,,1.01,,0,,,0,,0.03,,,,0.08,,,0,,,2.23,,,,,0,0.69,0.02,,,,,0.16,0,0.02,,,0.76,,0.57,,,,,,,,,,,,,,,,,,,,,0.01,,,0,0,,0.18,0,,,0,,,0.29,0.17,0.15,,,14.78,,,1.58,0.01,,,,,8.26,,,98.76,,0.12,,
1971,22.02,10.08,,3.15,3.49,,0.07,1.54,,0.24,,0.9,,,0.64,0.11,,,0.16,0,0,,,,,,,0.07,,,0.39,,0.27,0.01,,,,0,,,,,0.06,1.65,0.49,,0,,,0,,0.01,,,0.01,0,0,,,,,0.01,0.63,,,,,,,,,,,0.08,,,0.24,,,0.31,0,,0,,,,,0,,,,,,,0.08,,0.3,1.89,9.57,,0,0.06,,0.03,,,,,,6.81,,,,,,,5.47,,,,,,0.14,,,,,,,1.01,,0,,,0,,0.04,,,,0.07,,,0,,,3.16,,,,,0.01,0.61,0.02,,,,,0.14,0,0.02,,,0.9,,0.59,,,,,,,,,,,,,,,,,,,,,0.01,,,0,0,,0.22,0,,,0,,,0.27,0.17,0.14,,,15.78,,,2.15,0.01,,,,,7.95,,,104.4,,0.12,,
1972,22.1,12.74,,3.63,3.03,,0.09,2.08,,0.3,,0.93,,,0.68,0.1,,,0.15,0,0,,,,,,,0.09,,,0.38,,0.38,0.01,,,,0,,,,,0.06,1.91,0.44,,0.01,,,0,,0,,,0.01,0,0,,,,,0.18,0.45,,,,,,,,,,,0.06,,,0.26,,,0.3,0,,0,,,,,0,,,,,,,0.08,,0.31,2.29,10.62,,0,0.05,,0.03,,,,,,7.01,,,,,,,4.47,,,,,,0.19,,,,,,,1.05,,0,,,0,,0.04,,,,0.07,,,0.01,,,3.75,,,,,0.07,0.59,0.02,,,,,0.14,0,0.01,,,1.01,,0.6,,,,,,,,,,,,,,,,,,,,,0.01,,,0,0,,0.24,0.01,,,0,,,0.29,0.17,0.14,,,16.76,,,2.45,0.01,,,,,7.28,,,110.34,,0.13,,
1973,21.55,16.08,,4.2,4.16,,0.09,2.16,,0.34,,0.9,,,0.85,0.11,,,0.14,0,0,,,,,,,0.09,,,0.38,,0.48,0.01,,,,0,,,,,0.05,2.24,0.42,,0.09,,,0,,0.01,,,0.01,0,0.01,,,,,0.47,0.35,,,,,,,,,,,0.05,,,0.32,,,0.28,0,,0,,,,,0,,,,,,,0.08,,0.3,2.83,12.37,,0,0.05,,0.03,,,,,,6.44,,,,,,,4.38,,,,,,0.18,,,,,,,1.08,,0,,,0,,0.04,,,,0.06,,,0.01,,,4.24,,,,,0.07,0.61,0.02,,,,,0.16,0,0.02,,,1.19,,0.61,,,,,,,,,,,,,,,,,,,,,0.03,,,0,0,,0.23,0.01,,,0,,,0.34,0.16,0.15,,,17.96,,,3.11,0.02,,,,,7.6,,,120.4,,0.14,,
1974,20.57,17.99,,3.95,4.07,,0.07,2,,0.36,,0.89,,,0.84,0.09,,,0.14,0,0,,,,,,,0.09,,,0.4,,0.41,0.01,,,,0,,,,,0.05,2.72,0.38,,0.1,,,0,,0.01,,,0.01,0,0,,,,,0.4,0.31,,,,,,,,,,,0.05,,,0.43,,,0.26,0,,0,,,,,0,,,,,,,0.08,,0.31,2.91,12.69,,0,0.05,,0.03,,,,,,5.44,,,,,,,3.08,,,,,,0.16,,,,,,,1.36,,0,,,0,,0.04,,,,0.06,,,0.01,,,4.65,,,,,0.07,0.6,0.01,,,,,0.17,0,0.02,,,1.08,,0.62,,,,,,,,,,,,,,,,,,,,,0.08,,,0,0,,0.27,0.01,,,0,,,0.39,0.17,0.14,,,19.21,,,3.4,0.02,,,,,6.73,,,120.67,,0.14,,
1975,19.67,15.04,,3.42,4.68,,0.08,1.96,,0.33,,0.85,,,0.91,0.09,,,0.13,0,0,,,,,,,0.08,,,0.39,,0.38,0.01,,,,0,,,,,0.04,3.23,0.36,,0.07,,,0,,0.01,,,0.01,0,0.01,,,,,0.36,0.49,,,,,,,,,,,0.04,,,0.47,,,0.24,0,,0,,,,,0,,,,,,,0.08,,0.35,2.76,11.28,,0,0.05,,0.03,,,,,,4.45,,,,,,,2.99,,,,,,0.2,,,,,,,1.68,,0,,,0,,0.04,,,,0.06,,,0.01,,,3.68,,,,,0.39,0.71,0.01,,,,,0.16,0,0.02,,,0.91,,0.63,,,,,,,,,,,,,,,,,,,,,0.08,,,0,0,,0.4,0.01,,,0,,,0.45,0.19,0.13,,,20.55,,,3.37,0.07,,,,,5.32,,,114.62,,0.15,,
1976,19.17,18.31,,3.15,5,,0.08,2.19,,0.32,,0.85,,,0.93,0.08,,,0.12,0,0,,,,,,,0.08,,,0.38,,0.44,0,,,,0,,,,,0.04,3.65,0.33,,0.09,,,0,,0.01,,,0.01,0.05,0.01,,,,,0.42,0.7,,,,,,,,,,,0.04,,,0.47,,,0.23,0,,0,,,,,0,,,,,,,0.09,,0.36,3.19,12.43,,0,0.05,,0.02,,,,,,4.6,,,,,,,3.91,,,,,,0.33,,,,,,,1.87,,0,,,0,,0.05,,,,0.06,,,0.02,,,4.27,,,,,0.57,0.76,0.01,,,,,0.17,0,0.02,,,1.02,,0.63,,,,,,,,,,,,,,,,,,,,,0.07,,,0,0,,0.42,0.01,,,0,,,0.44,0.16,0.11,,,21.76,,,3.94,0.51,,,,,5.23,,,124.53,,0.16,,
1977,19.38,19.61,,3.16,4.86,,0.08,2.33,,0.3,,0.92,,,0.98,0.07,,,0.12,0,0,,,,,,,0.07,,,0.37,,0.46,0.01,,,,0,,,,,0.04,3.92,0.31,,0.07,,,0,,0.01,,,0.01,0.05,0.02,,,,,0.41,0.88,,,,,,,,,,,0.04,,,0.47,,,0.23,0,,0,,,,,0,,,,,,,0.09,,0.43,3.56,11.96,,0,0.05,,0.02,,,,,,4.22,,,,,,,4.17,,,,,,0.37,,,,,,,2.28,,0,,,0,,0.06,,,,0.06,,,0.03,,,4.3,,,,,0.59,0.7,0.02,,,,,0.2,0,0.02,,,0.91,,0.63,,,,,,,,,,,,,,,,,,,,,0.04,,,0,0,,0.38,0.01,,,0,,,0.47,0.18,0.11,,,22.85,,,4.05,1.6,,,,,5.09,,,128.88,,0.17,,
1978,20.27,17.77,,3.15,5.3,,0.09,2.38,,0.27,,0.97,,,0.97,0.07,,,0.12,0,0,,,,,,,0.06,,,0.36,,0.49,0.01,,,,0.02,,,,,0.03,4.36,0.3,,0.1,,,0,,0.01,,,0,0.05,0.02,,,,,0.46,1.05,,,,,,,,,,,0.05,,,0.44,,,0.21,0,,0,,,,,0,,,,,,,0.09,,0.47,3.44,11.09,,0,0.06,,0.02,,,,,,4.55,,,,,,,4,,,,,,0.43,,,,,,,2.79,,0,,,0,,0.06,,,,0.06,,,0.02,,,3.91,,,,,0.73,0.65,0.02,,,,,0.33,0,0.02,,,1.01,,0.59,,,,,,,,,,,,,,,,,,,,,0.04,,,0,0,,0.37,0.01,,,0,,,0.48,0.21,0.11,,,23.93,,,3.71,2.26,,,,,4.9,,,130.05,,0.17,,
1979,19.97,20.43,,3.61,7.19,,0.09,2.43,,0.3,,1.02,,,0.97,0.07,,,0.11,0,0,,,,,,,0.05,,,0.38,,0.53,0.01,,,,0.08,,,,,0.04,4.44,0.28,,0.12,,,0,,0.01,,,0,0.04,0.02,,,,,0.48,1.09,,,,,,,,,,,0.05,,,0.41,,,0.2,0,,0,,,,,0,,,,,,,0.08,,0.54,3.33,6.72,,0,0.07,,0.02,,,,,,5.43,,,,,,,4.23,,,,,,0.56,,,,,,,3.38,,0,,,0,,0.06,,,,0.05,,,0.02,,,4.75,,,,,0.82,0.61,0.02,,,,,0.42,0,0.01,,,1.06,,0.53,,,,,,,,,,,,,,,,,,,,,0.05,,,0,0,,0.35,0,,,0,,,0.44,0.23,0.12,,,24.52,,,3.71,3.26,,,,,5.33,,,135.55,,0.17,,
1980,20.1,21.34,,3.49,5.49,0,0.11,2.16,0,0.31,0,1.06,,,0.91,0.07,,0,0.12,0,0,,0,0,0,0,0,0.07,,0,0.41,0,0.49,0.01,0,0,0,0.13,0,0,0,0,0.09,4.44,0.28,0,0.13,0,0,0,,0.01,0,,0,0.05,0.01,0,0,0,,0.46,1.25,0,0,,,0,0,0,0,0,0,0.1,0,0,0.37,0,,0.21,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,0.39,3.31,3.1,0,0.08,0.07,0,0.02,0,,0,0,,3.64,,0,,0,0,0,3.7,,0,0,0,0,0.55,0,0,0,0,0,0,4.49,,0,,0,0,0,0.07,,0,0,0.07,0,0,0.02,0,0,4.26,0,0,,0,1.05,0.59,0.02,,0,0,0,0.43,0.03,0.02,0,0,0.99,0,0.5,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.07,0,0,0,0,0,0.33,0.02,,0,0,0,0,0.44,0.24,0.11,,0,25.25,0,,3.51,3.37,0,0,,0,4.91,0,0,129.42,0,0.2,0,0
1981,20.05,21.2,,3.16,1.86,0,0.11,1.92,0,0.3,0,1.08,,,0.89,0.06,,0,0.12,0,0,,0,0,0,0,0,0.05,,0,0.48,0,0.35,0.01,0,0,0,0.2,0,0,0,0,0.11,4.24,0.3,0,0.17,0,0,0.02,,0.02,0,,0,0.05,0.03,0,0,0,,0.48,1.35,0,0,,,0,0,0,0,0,0,0.12,0,0,0.32,0,,0.21,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,0.63,3.35,2.77,0,0.08,0.06,0,0.02,0,,0,0,,2.45,,0,,0,0,0,2.48,,0,0,0,0,0.52,0,0,0,0,0,0,5.36,,0,,0,0,0,0.06,,0,0,0.07,0,0,0.02,0,0,2.97,0,0,,0,1.02,0.68,0.02,,0,0,0,0.42,0,0.02,0,0,0.87,0,0.51,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.06,0,0,0,0,0,0.34,0.01,,0,0,0,0,0.39,0.23,0.11,,0,25.49,0,,3.1,3.75,0,0,,0,4.76,0,0,121.96,0,0.2,0,0
1982,20.13,14.24,,3.12,2.03,0,0.16,1.91,0,0.27,0,1.07,,,0.88,0.06,,0,0.11,0,0,,0,0,0,0,0,0.06,,0,0.59,0,0.36,0.01,0,0,0,0.25,0,0,0,0,0.11,4.28,0.32,0,0.19,0,0,0.02,,0.03,0,,0,0.05,0.07,0,0,0,,0.48,1.39,0,0,,,0,0,0,0,0,0,0.11,0,0,0.33,0,,0.19,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,0.83,2.79,5.03,0,0,0.07,0,0.02,0,,0,0,,1.79,,0,,0,0,0,2.32,,0,0,0,0,0.61,0,0,0,0,0,0,6.32,,0,,0,0,0,0.07,,0,0,0.1,0,0,0.03,0,0,2.65,0,0,,0,1.06,0.7,0.03,,0,0,0,0.43,0.02,0.01,0,0,0.71,0,0.51,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.07,0,0,0,0,0,0.32,0.01,,0,0.01,0,0,0.37,0.22,0.12,,0,25.65,0,,2.7,4.32,0,0,,0,4.3,0,0,117.14,0,0.2,0,0
1983,20.22,10.06,,3.29,2.28,0,0.18,1.88,0,0.37,0,1.07,,,0.85,0.06,,0,0.11,0,0,,0,0,0.01,0,0,0.06,,0,0.75,0,0.37,0.01,0,0,0,0.26,0,0,0,0,0.1,4.44,0.34,0,0.22,0,0,0.05,,0.03,0,,0,0.06,0.09,0,0,0,,0.54,1.53,0,0,,,0,0,0,0,0,0,0.11,0,0,0.33,0,,0.19,0,0,0.06,0,0,0,0,0.02,0,0,0,0,0,0,0.13,0,1.06,2.96,5.14,0,0,0.09,0,0.02,0,,0,0,,2.3,,0,,0,0,0,2.27,,0,0,0,0,0.77,0,0,0,0,0,0,6.16,,0,,0,0,0,0.07,,0,0,0.14,0,0,0.03,0,0,2.55,0,0,,0,1.31,0.81,0.03,,0,0,0,0.37,0.03,0.01,0,0,0.64,0,0.51,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.13,0,0,0,0,0,0.34,0.01,,0,0.02,0,0,0.33,0.23,0.1,,0,25.81,0,,2.54,4.81,0,0,,0,4.07,0,0,115.64,0,0.19,0,0
1984,20.77,9.17,,3.51,2.53,0,0.13,2.04,0,0.42,0,1.05,,,1.11,0.06,,0,0.11,0,0,,0,0,0.02,0,0,0.05,,0,1.04,0,0.35,0.01,0,0,0,0.31,0,0,0,0,0.1,4.8,0.38,0,0.25,0,0,0.06,,0.04,0,,0,0.07,0.1,0,0,0,,0.58,1.75,0,0,,,0,0,0,0,0,0,0.11,0,0,0.37,0,,0.18,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,1.18,3.14,4.29,0,0,0.1,0,0.02,0,,0,0,,2.54,,0,,0,0,0,2.02,,0,0,0,0,0.89,0,0,0,0,0,0,6.21,,0,,0,0,0,0.07,,0,0,0.16,0,0,0.04,0,0,2.87,0,0,,0,1.51,0.87,0.04,,0,0,0,0.41,0.03,0.01,0,0,0.72,0,0.5,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.1,0,0,0,0,0,0.34,0.01,,0,0.04,0,0,0.35,0.23,0.09,,0,25.65,0,,2.43,5.28,0,0,,0,4.09,0,0,117.91,0,0.19,0,0
1985,20.88,7.2,22.71,3.59,2.92,0,0.13,1.97,0,0.48,0,1.01,,,1.28,0.05,0.55,0,0.11,0,0,,0,0,0.02,0,0,0.05,,0,1.23,0,0.34,0.01,0,0,0,0.42,0,0,0,0,0.1,5.23,0.4,0,0.25,0,0,0.06,,0.05,0,,0,0.07,0.12,0,0,0,,0.64,1.89,0,0,,,0,0,0,0,0,0,0.14,0,0,0.36,0,,0.19,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,1.26,2.78,4.62,0,0,0.1,0,0.03,0,0.95,0,0,,2.32,,0,,0,0,0,2.03,,0,0,0,0,0.89,0,0,0,0,0,0,6.11,,0,,0,0,0,0.07,,0,0,0.2,0,0,0.04,0,0,3.09,0,0,,0,1.64,1.04,0.08,,0,0,0,0.41,0.02,0.01,0,0,0.64,0,0.47,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.1,0,0,0,0,0,0.33,0.01,,0,0.08,0,0,0.36,0.23,0.09,0.28,0,26.82,0,,2.34,5.34,0,0,0.1,0,3.83,0,0,116.88,0,0.2,0,0
1986,20.19,10.58,23.5,3.59,3.9,0,0.13,2.03,0,0.58,0,0.96,,0,1.15,0.05,0.55,0,0.11,0,0,,0,0,0.02,0,0,0.05,,0,1.3,0,0.34,0.01,0,0,0,0.41,0,0,0,0,0.09,5.47,0.67,0,0.25,0,0,0.05,,0.05,0,,0.01,0.07,0.15,0,0,0,,0.66,1.72,0,0,,,0,0,0,0,0,0,0.16,0,0,0.35,0,,0.19,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,1.32,2.95,4.3,0,0,0.11,0,0.03,0,0.98,0,0,,2.49,,0,,0,0,0,2.1,,0,0,0,0,1,0,0,0,0,0,0,5.73,,0,,0,0,0,0.06,,0,0,0.24,0,0,0.07,0,0,3.02,0,0,,0,1.8,1.17,0.09,,0,0,0,0.39,0.02,0.01,0,0,0.72,0,0.45,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.1,0,0,0,0,0,0.42,0.01,,0,0.08,0,0,0.35,0.22,0.11,0.27,0,27.66,0,,2.71,5.32,0,0,0.11,0,4.14,0,0,122.65,0.02,0.2,0,0
1987,19.56,8.94,23.84,3.78,4.91,0,0.13,2.1,0,0.73,0,0.95,,0,1.22,0.05,0.58,0,0.11,0,0,,0,0,0.02,0,0,0.05,,0,1.29,0,0.32,0.01,0,0,0,0.4,0,0,0,0,0.08,5.62,0.85,0,0.26,0,0,0.04,,0.05,0,,0.01,0.07,0.19,0,0,0,,0.39,1.94,0,0,,,0,0,0,0,0,0,0.17,0,0,0.32,0,,0.17,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0,0.12,0,1.28,2.92,4.89,0,0,0.16,0,0.03,0,1.01,0,0,,2.18,,0,,0,0,0,1.98,,0,0,0,0,0.99,0,0,0,0,0,0,5.99,,0,,0,0,0,0.04,,0,0,0.22,0,0,0.06,0,0,2.78,0,0,,0,2.1,1.21,0.09,,0,0,0,0.36,0.01,0.01,0,0,0.64,0,0.42,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.09,0,0,0,0,0,0.48,0.01,,0,0.08,0,0,0.32,0.21,0.12,0.27,0,28,0,,2.86,5.16,0,0,0.11,0,4.2,0.01,0,122.93,0.05,0.2,0,0
1988,19.22,11.44,23.81,3.98,5.72,0,0.11,2.2,0,0.93,0,0.99,,0,1.16,0.06,0.58,0,0.11,0,0,,0,0,0.01,0,0,0.05,,0,1.26,0,0.31,0.01,0,0,0,0.37,0,0,0,0,0.07,5.74,0.84,0,0.29,0,0,0.03,,0.04,0,,0.01,0.07,0.2,0,0,0,,0.69,1.85,0,0,,,0,0,0,0,0,0,0.17,0,0,0.37,0,,0.18,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,1.35,2.82,4.91,0,0,0.2,0,0.03,0,1.05,0,0,,2.64,,0,,0,0,0,2.08,,0,0,0,0,1.08,0,0,0,0,0,0,5.97,,0,,0,0,0,0.03,,0,0,0.2,0,0,0.08,0,0,2.86,0,0,,0,2.39,1.29,0.1,,0,0,0,0.31,0.01,0.01,0,0,0.74,0,0.41,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.08,0,0,0.01,0,0,0.56,0.01,,0,0.09,0,0,0.31,0.21,0.12,0.24,0,28.11,0,,3.02,4.79,0,0,0.1,0,4.4,0.03,0,128.19,0.34,0.19,0,0
1989,17.96,11.35,23.12,3.88,5.82,0,0.11,2.28,0,0.95,0,1.01,,0,1.09,0.06,0.55,0,0.11,0,0,,0,0,0.01,0,0,0.05,,0,1.35,0,0.31,0.01,0,0,0,0.39,0,0,0,0,0.07,5.76,0.89,0,0.33,0,0,0,,0.04,0,,0.01,0.06,0.23,0,0,0,,0.64,1.86,0,0,,,0,0,0,0,0,0,0.17,0,0,0.43,0,,0.17,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0.11,0,1.44,3,6.02,0,0,0.19,0,0.03,0,1.06,0,0,,2.86,,0,,0,0,0,2.3,,0,0,0,0,1.17,0,0,0,0,0,0,5.99,,0,,0,0,0,0.04,,0,0,0.17,0,0,0.09,0,0,3.64,0,0,,0,3.14,1.34,0.11,,0,0,0,0.29,0.01,0.01,0,0,0.82,0,0.4,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.06,0,0,0.01,0,0,0.71,0.01,,0,0.09,0,0,0.31,0.21,0.13,0.24,0,27.23,0,,3.56,3.84,0,0,0.11,0,4.42,0.06,0,129.73,0.36,0.17,0,0
1990,17.44,14.35,21.6,3.88,4.41,0,0.07,2.44,0,0.98,0,1.06,,0,1.27,0.05,0.52,0,0.1,0,0,,0,0,0.01,0,0,0.05,,0,1.43,0,0.31,0.01,0,0,0,0.37,0,0,0,0,0.06,5.79,0.98,0,0.34,0,0,0,,0.04,0,,0.01,0.07,0.25,0,0,0,,0.65,1.9,0,0,,,0,0,0,0,0,0,0.16,0,0,0.56,0,,0.16,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0.12,0,1.43,3.12,6.82,0,0,0.2,0,0.03,0,1.08,0,0,,1.96,,0,,0,0,0,2.82,,0,0,0,0,1.24,0,0,0,0,0,0,6.08,,0,,0,0,0,0.03,0,0,0,0.19,0,0,0.09,0,0,3.66,0,0,,0,3.44,1.43,0.14,,0,0,0,0.28,0.01,0,0,0,0.88,0,0.34,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,0.05,0,0,0.01,0,0,0.85,0.01,,0,0.1,0,0,0.31,0.2,0.17,0.24,0,25.55,0,,3.9,3.84,0,0,0.12,0,4.93,0.11,0,132.22,0.36,0.16,0,0
